"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
238861071489998,93,0,0,16.64379492,"M242Bc","reassembly",5.5258064516129,1.3741935483871,2.32509798379304,2.3741935483871,4.01707069500394,4.1741935483871,7.06262157518356,303.516129032258,36.483870967742,0.505438727776672,60.483870967742,0.837928925359205,97.483870967742,1.35051797996561
238861074489998,19,1,0,17.45427525,"M242Dd","replacement",1.86774193548387,1.43225806451613,1.94499400243629,2.63225806451613,3.57458357204508,4.53225806451613,6.154767057259,243.161290322581,56.8387096774194,0.837761259495093,102.838709677419,1.51576781797409,153.838709677419,2.26747074150516
238861074489998,93,1,0,17.45427525,"M242Dd","replacement",1.86774193548387,1.43225806451613,1.94499400243629,2.63225806451613,3.57458357204508,4.53225806451613,6.154767057259,243.161290322581,56.8387096774194,0.837761259495093,102.838709677419,1.51576781797409,153.838709677419,2.26747074150516
238861114489998,19,1,0,3.869674537,"M242De","reassembly",4.42258064516129,1.57741935483871,2.07637914708827,2.67741935483871,3.52432452368765,4.57741935483871,6.0253210832684,410.774193548387,60.2258064516129,1.01369841025867,101.225806451613,1.70379518553385,151.225806451613,2.54537661879627
238861114489998,93,1,0,3.869674537,"M242De","reassembly",4.42258064516129,1.57741935483871,2.07637914708827,2.67741935483871,3.52432452368765,4.57741935483871,6.0253210832684,410.774193548387,60.2258064516129,1.01369841025867,101.225806451613,1.70379518553385,151.225806451613,2.54537661879627
238861151489998,19,1,0,20.56246231,"M242Be","resilience",5.50967741935484,1.59032258064516,2.59501480871721,2.39032258064516,3.90041779565812,4.19032258064516,6.83757451627516,468.161290322581,77.8387096774193,1.1247076992393,96.8387096774193,1.39924264944731,140.838709677419,2.03500779729746
238861151489998,93,1,0,20.56246231,"M242Be","resilience",5.50967741935484,1.59032258064516,2.59501480871721,2.39032258064516,3.90041779565812,4.19032258064516,6.83757451627516,468.161290322581,77.8387096774193,1.1247076992393,96.8387096774193,1.39924264944731,140.838709677419,2.03500779729746
238861157489998,19,0,0,17.61268135,"M242Bb","replacement",3.59677419354839,1.30322580645161,2.03284582186403,2.40322580645161,3.7486884586354,4.20322580645161,6.55643095517036,303.483870967742,46.516129032258,0.995051540090704,101.516129032258,2.17158612806203,139.516129032258,2.9844645706604
238861157489998,93,1,0,17.61268135,"M242Bb","replacement",3.59677419354839,1.30322580645161,2.03284582186403,2.40322580645161,3.7486884586354,4.20322580645161,6.55643095517036,303.483870967742,46.516129032258,0.995051540090704,101.516129032258,2.17158612806203,139.516129032258,2.9844645706604
238861172489998,19,0,0,23.43227264,"M242Bc","reassembly",4.52903225806452,0.970967741935484,1.54662700264321,2.27096774193548,3.61736016565057,4.07096774193548,6.48452916058383,203.032258064516,40.9677419354839,0.691162799898988,66.9677419354839,1.12980627763016,107.967741935484,1.82151330020623
238861172489998,93,1,0,23.43227264,"M242Bc","reassembly",4.52903225806452,0.970967741935484,1.54662700264321,2.27096774193548,3.61736016565057,4.07096774193548,6.48452916058383,203.032258064516,40.9677419354839,0.691162799898988,66.9677419354839,1.12980627763016,107.967741935484,1.82151330020623
238861196489998,19,0,0,25.8523848,"M333Ad","resilience",3.89354838709677,1.20645161290323,1.67311656169835,2.90645161290323,4.03068989863694,4.70645161290323,6.52694402010133,192.161290322581,128.838709677419,1.99269382501953,72.8387096774194,1.12656551249227,119.838709677419,1.85349463193479
238861196489998,93,0,0,25.8523848,"M333Ad","resilience",3.89354838709677,1.20645161290323,1.67311656169835,2.90645161290323,4.03068989863694,4.70645161290323,6.52694402010133,192.161290322581,128.838709677419,1.99269382501953,72.8387096774194,1.12656551249227,119.838709677419,1.85349463193479
238861197489998,19,1,0,6.274117698,"M242Dd","replacement",2.63548387096774,1.46451612903226,2.00343342993311,2.66451612903226,3.64501324476818,4.46451612903226,6.10738296702077,305.225806451613,63.7741935483871,0.928389202408523,107.774193548387,1.56891670472781,157.774193548387,2.29678886645427
238861197489998,93,0,0,6.274117698,"M242Dd","replacement",2.63548387096774,1.46451612903226,2.00343342993311,2.66451612903226,3.64501324476818,4.46451612903226,6.10738296702077,305.225806451613,63.7741935483871,0.928389202408523,107.774193548387,1.56891670472781,157.774193548387,2.29678886645427
238861239489998,19,0,1,11.96095673,"M242Dd","replacement",2.14838709677419,1.45161290322581,1.8731180714954,2.75161290322581,3.55059936663462,4.65161290322581,6.00230279799194,256.032258064516,48.9677419354838,0.642824712338086,84.9677419354838,1.11541521231786,131.967741935484,1.73240836506924
